keyword,count
ICAR,31
India,23
farmers,13
cotton,11
CIRCOT,11
BIS,10
nanocellulose,10
Hindi,10
seed cotton,9
cottonseed,9
Agriculture,9
value added products,7
value addition,7
agriculture,7
GTC,7
NAAS rating,7
NAAS,7
Webinar,7
Cotton Technology,6
ISO 9001,5
skill development,5
incubation,5
RAFTAAR,5
textiles,5
Natural Fibres,5
Agri Business,5
lint,5
GP,5
DGPI,5
Textiles,5
Value Addition,4
quarantine,4
Cotton,4
Consultancy,4
dryer,4
fibre diameter,4
nanoparticles,4
process protocol,4
pore size,4
National Laboratory,4
Bajaj Steel Industries,4
Farmers Welfare,4
Ginning Training Centre,4
webinar,4
students,4
training,4
Stress Management,4
Personality Development,4
Quality Evaluation,4
AICRP,4
Technical Textiles,4
Nanotechnology,4
videoconferencing,4
constitution,4
residential colonies,4
Technical Assistant,4
Entrepreneurship,3
farm income,3
revenue generation,3
Value Added Products,3
cotton biomass,3
cotton textiles,3
ISO,3
nanotechnology,3
Africa,3
UNCTAD,3
kawadi cotton,3
ginneries,3
ginning,3
fabric waste,3
recycled fibres,3
micronaire,3
Cotton Textiles,3
Raman analysis,3
vegetable oil,3
composting,3
MMT properties,3
PPE materials,3
MMT,3
Peltier module,3
electrospun mat,3
Test Jig,3
incubatees,3
Mumbai,3
Fumalabs,3
Shree Agro Invent Tech,3
ginners,3
Artificial Intelligence,3
Institute Technology Management Unit,3
consultancy projects,3
ITMC,3
cotton quality,3
agripreneurs,3
Awareness programme,3
women,3
Skill development,3
Training programme,3
Double Roller Ginning Technology,3
Technical Tex tiles,3
National seminar,3
Agricultural Engineering,3
closing ceremony,3
Hindi Week,3
Technology Transfer Division,3
Agricultural Structures,3
Agricultural Process Engineering,3
Princ,3
Office side member,3
Salient Research Achievements,2
Skill Development,2
RAC,2
IRC,2
Infrastructural Facilities,2
Atomic Force Microscopy,2
sustainability,2
Mechanical processing,2
Technical textiles,2
fibres,2
yarns,2
Human Resource Development,2
Maharashtra,2
webinars,2
village visits,2
Accreditation,2
cotton fibre,2
packaging,2
Agri Business Incubation Centre,2
staff quarters,2
Central Institute,2
Research Advisory Committee,2
Biomass,2
Cotton technology,2
ginning machinery,2
Quality Research,2
textile materials,2
Banana,2
natural dyes,2
nanomaterials,2
cotton sector,2
Southern Africa,2
incubator,2
commercialization,2
cotton fibres,2
cotton value chain,2
SCSP,2
Kawadi Cotton Opener,2
short fibres,2
Rotary Tubular Drum Dryer,2
thermic fluid,2
cottonseeds,2
cottonseed temperature,2
Digital Ginning Percentage Indicator,2
portable cotton gin,2
ginning percentage,2
ginning industries,2
groove profile,2
chrome leather roller,2
double roller gin,2
Ginning,2
lint quality,2
plant capacity,2
spinnability,2
recycled fibre,2
recycled cotton fibre,2
recycled cotton fibres,2
PVA electrospun mat,2
cotton samples,2
Marker Fibres,2
cotton fabric,2
cultures,2
soil inhabitant,2
hydrogen peroxide,2
Microorganisms,2
thermophilic phase,2
ions,2
time,2
smart respirator,2
healthcare workers,2
Wetting Time,2
Top Absorption Rate,2
Bottom Absorption Rate,2
Top Max Wetted Radius,2
Top Spreading Speed,2
Bottom Spreading Speed,2
PPE material,2
cooling belt,2
cooling belts,2
Cotton Based face mask,2
breathability,2
electro spun nano materials,2
antiviral coatings,2
Fibre diameter,2
particle filtration efficiency,2
air permeability,2
Double fabric Air permeability,2
yarn count,2
fabric structure,2
filter fabric,2
indoor decontamination,2
human health,2
