keyword,count
India,105
arecanut,59
coconut,51
NAAS Rating,38
Plantation Crops,37
farmers,29
ICAR,26
cocoa,24
CPCRI,21
National Symposium,20
Agriculture,16
Andhra Pradesh,15
Andhra,15
women,14
Indian Coconut Journal,14
coreid bug,12
Regional Station,12
KVK,12
plantation crops,10
AICRP,10
copra,9
training programme,9
International Seminar,9
Philippines,9
Plant Pathology,9
value addition,8
coconut palms,8
SCSP,8
cocoa genotypes,8
Crop Protection,8
Biotechnology,8
fruit rot,8
Arecanut,8
millets,8
leaf spot disease,8
fat content,7
coconut rhinoceros beetle,7
coconut garden,7
Lasiodiplodia theobromae,7
shelf life,7
Farmers Welfare,7
spices,7
Crop Production,7
red palm weevil,7
coconut oil,7
�,7
Horticultural Crops,7
NAAS,7
Sustainable Development,7
Kerala,7
samplesDistrict Agri,7
coconut gardens,6
RPW,6
hybrids,6
Kalparasa,6
Pollen grains,6
arecanut germplasm,6
chali yield,6
Cocoa,6
particle size,6
cocoa pod husk biochar,6
essential oils,6
lanosoniveum,6
Millets,6
International Conference,6
Indian Nalikera Journal,6
Biochemistry,5
climate change,5
farming community,5
Kalpa Vajra,5
coconut genotypes,5
drought tolerance,5
planting material production,5
rhinoceros beetle,5
C,5
farmyard manure,5
pH range,5
fertilizers,5
neem oil,5
coconut cultivation,5
tender coconut husk,5
Pandiselvam,5
palmyrah,5
tender nut water,5
arecanut palms,5
fungicides,5
fruit rot disease,5
Colletotrichum,5
pest incidence,5
cation,5
extension personnel,5
Coconut seedlings,5
lling,5
training,5
Horticulture,5
ATMA,5
Science History,5
Abstract ID,5
Training manual,5
human health,5
students,5
District Agri,5
Hotballoon Foods,5
Physiology,4
crop improvement,4
mandate crops,4
TDZ,4
genes,4
vermicompost,4
isolates,4
PGPR strains,4
soursop,4
Kasaragod district,4
coconut system,4
termites,4
65°C,4
coconut chips,4
starch,4
SMS,4
cashew,4
oil palm,4
Social Sciences,4
biotechnology,4
somatic embryogenesis,4
coconut pollen,4
miRNAs,4
coconut husk,4
PGPRs,4
yellow leaf disease,4
polyphenol content,4
coconut sector,4
Crop Improvement,4
Coconut,4
copra yield,4
nut yield,4
germination,4
tube length,4
hybrid seedlings,4
callus,4
somatic embryos,4
nutrient management,4
incubation,4
CPHB,4
Coprinopsis,4
progressive farmers,4
Leaf axil,4
mortality,4
FPCs,4
FFP,4
History,4
Livelihood Security,4
National Workshop,4
Integrated management,4
Plantation Crops Research Institute,4
Coconut Development Board,4
Project Project,4
Organo resource management,4
Palmyrah,3
thematic areas,3
SDM University,3
coconut germplasms,3
tender nut traits,3
elite clones,3
callus induction,3
culture initiation,3
banana,3
arecanut gardens,3
organic carbon,3
cowpea,3
basal stem rot disease,3
fruits,3
entomopathogenic fungus,3
essential oil repellents,3
RSW,3
biochemistry,3
glycemic index,3
refrigerated conditions,3
60°C,3
Kisan Mela,3
tuber crops,3
print media,3
World Coconut Day,3
Central Plantation Crops Research Institute,3
South Asia,3
planting material,3
cryopreservation,3
intercrops,3
pineapple,3
Basal stem rot disease,3
neem cake,3
coconut seedlings,3
fatty acids,3
pollen germination,3
dwarfs,3
water,3
virgin coconut oil,3
videoconferencing,3
nematodes,3
tender nut weight,3
Assam,3
