keyword,count
cassava,116
India,87
sweet potato,76
ICAR,68
tuber crops,67
NAAS score,40
tropical tuber crops,39
elephant foot yam,38
Chinese potato,29
Agriculture,26
Biotechnology,25
Central Tuber Crops Research Institute,23
value addition,22
Training Manual,22
farmers,21
Root Crops,21
women,20
Kerala Agricultural University,20
tubers,19
yams,18
net income,18
Colletotrichum,18
SLCMV,17
genotypes,17
taro,16
Plant Pathology,16
Crop Production,15
External examiner,15
ribosomal RNA gene,15
students,14
AICRP,14
Crop Protection,14
International Seminar,14
Central Tuber Crops Research,14
FYM,13
tuber yield,13
Horticulture,13
Crop Improvement,13
Agricultural University,13
Kerala,12
yam bean,12
greater yam,12
Trichoderma,12
Vegetable Science,12
Sheela,12
University of Kerala,12
starch content,11
entrepreneurship,11
varietal gene bank,11
CTCRI,11
National Seminar,11
Webinar,11
CTCRIS2,10
cassava genotypes,10
IC,10
antioxidant activity,10
Regional Station,10
cooking quality,9
stomatal conductance,9
elephant foot,9
Technical Folder,9
Crops Research Institute,9
starch yield,8
nano urea,8
yield,8
gloeosporioides,8
sweet potato varieties,8
Odisha,8
Laxminarayana,8
landraces,8
cassava varieties,8
Tuber Crops,8
International Conference,8
ISMPP,8
CIAT,7
protein content,7
organic farming,7
highest tuber yield,7
Bacillus,7
endophytes,7
Cassava,7
planting materials,7
root rot,7
Agronomy,7
agriculture,7
SSR markers,7
Standardization,7
mauritiana,7
Tuber yield,7
zeolite,7
seed villages,7
Tropical Tuber Crops,7
Microbiology,7
webinar,7
Elephant Foot Yam,7
sustainability,6
CTCRIS3,6
East Indian arrowroot,6
Drip irrigation,6
drip irrigation,6
corm yield,6
cassava stem,6
potato,6
cyanide content,6
modified starches,6
modified starch,6
Sree Athulya,6
men,6
training programs,6
cassava mosaic disease,6
bioagents,6
Agricultural Extension,6
Genetic improvement,6
drought tolerance,6
nutritional security,6
Plant Varieties,6
Quality planting material production,6
quality planting material production,6
fungicides,6
Crop Utilization,6
Women,6
Value addition,6
Plant Health,6
Arunachal Pradesh,6
internal transcribed spacer,6
food security,5
biofertilizers,5
soil health,5
quality planting material,5
SCSP,5
patents,5
CTCRIH2,5
cormel yield,5
MS media,5
breeder seed standards,5
natural farming,5
vine length,5
Azospirillum,5
genotype,5
nutrient management,5
potting mixture,5
urea formaldehyde,5
cassava variety,5
texture,5
cassava cultivation,5
tribal farmers,5
smart farming,5
fungal diseases,5
anthracnose,5
Institute,5
Soil Science,5
Krishnakumar,5
Rights Authority,5
gene bank,5
taro accessions,5
irrigation,5
drought,5
pseudostem rot,5
water absorption,5
beta carotene content,5
Social Sciences,5
technology index,5
extension gap,5
parasitoids,5
SPFMV,5
ICMV,5
drone demonstrations,5
All India Coordinated Research Project,5
Food Security,5
Plant Sciences,5
External Examiner,5
Botany,5
Plant Breeding,5
College of Agriculture,5
YSR Horticultural University,5
Tuber crops,5
oil palm,5
Central Tuber Crops,5
Integrated Plant Health Management,5
All India Radio,5
climate change,4
nutrient use efficiency,4
cassava sett cutter,4
ICM,4
productivity,4
aroids,4
shelf life,4
IC50 value,4
tannia,4
biochemical traits,4
sweet potato genotypes,4
yam varieties,4
furrow irrigation,4
organic carbon,4
Drought stress,4
insects,4
insecticidal proteins,4
soil samples,4
Trichoderma isolates,4
isolates,4
