keyword,count
India,82
seed yield,61
castor,55
ICAR,45
oil content,44
oilseed crops,34
genotypes,33
AICRP,31
sunflower,27
insect pests,24
leafhopper,23
oilseeds,23
safflower,21
powdery mildew,20
high oil content,19
Rock phosphate,18
high seed yield,16
aphids,15
sesame,15
sesame genotypes,15
value addition,15
agriculture,15
Oilseeds Research,14
farmers,14
Plant Breeding,14
Biotechnology,14
drought stress,13
competing crops,12
germplasm accessions,12
whitefly,12
linseed,12
Oilseeds,12
linseed varieties,11
edible oils,11
interspecific hybrids,11
Agronomy,11
hybrids,10
monoecious lines,10
wilt incidence,10
reduced tillage,10
zero tillage,10
inbred lines,10
wilt,10
castor based system,10
groundnut,10
Castor,10
gray mold resistance,9
root rot incidence,9
diversification,9
parental lines,9
Crop Protection,9
SAP54,9
mirid bug,9
rice moth,9
Crop Improvement,9
insecticides,9
fungicides,9
seed treatment,9
floral visitor insects,9
Tribolium,9
International Conference,9
breeding,8
sunflower cultivation,8
germplasm,8
genotype,8
phyllody,8
leaf webber,8
TilhanTec,8
yield gaps,8
output marketing,8
profitability,8
rainfed conditions,8
conventional tillage,8
interspecific derivatives,8
agronomic traits,8
Seed yield,8
nutrient management,8
chitinolytic bacteria,8
bee keeping,8
Trichoderma,8
castor genotypes,8
downy mildew,8
tribal farmers,8
Serbia,8
Telangana,7
oxysporum,7
drought,7
SNP markers,7
sick pot method,7
random mating,7
intercropping systems,7
gray mold,7
oil yield,7
100 seed weight,7
rBiFC vectors,7
RNF5,7
storage insect pests,7
Bacillus thuringiensis,7
water stress,7
soil health,7
coccinellids,7
net returns,7
Plant Pathology,7
IOPEPC,7
moisture stress,6
genes,6
entomopathogenic fungi,6
economics,6
FPOs,6
Boopathi,6
pistillate lines,6
Crop Production,6
highest seed yield,6
ricini,6
capacity building,6
combined stress,6
leafhoppers,6
soybean,6
castor hybrid,6
crop diversification,6
Seed production,6
Oil content,6
soil application,6
pentatomid bug,6
moisture content,6
linseed oil,6
ICRISAT,6
women,6
crop improvement,6
crop production,6
crop protection,6
International Sunflower Association,6
International conference,6
Indian Oilseeds and Produce Export Promotion Council,6
Farmers Welfare,5
Uroleucon compositae,5
USDA,5
commercialization,5
National Science Day,5
wilt resistance,5
high,5
reniform nematode,5
praecox,5
AICRP centres,5
germplasm panel,5
disease incidence,5
S54LP,5
fungicide,5
bassiana,5
Niger,5
seed production,5
redgram,5
pulses,5
tillage,5
split plot design,5
susceptible check,5
hand emasculation,5
delayed sowing,5
s,5
irrigated conditions,5
Illeis sp,5
Sunflower,5
rust,5
Tamil Nadu Agricultural University,5
Agricultural Extension,5
Genetics,5
selection committee,5
external examiner,5
QTL,4
CMS lines,4
area expansion,4
aphid,4
multicapsules,4
multilocation evaluation,4
niger,4
entrapment efficiency,4
Safflower knowledge management portal,4
zero tillage conditions,4
input aggregation,4
productivity,4
EMS,4
tillage practices,4
Fusarium oxysporum,4
pollen grains,4
CMS,4
stress,4
plant geometry,4
agronomic characters,4
vermicompost,4
sweet flag rhizome extract,4
highest oil content,4
rileyi,4
reference varieties,4
private extension systems,4
promotion,4
Input aggregation,4
sunflower hybrids,4
marketing,4
verticals,4
drought tolerance,4
