keyword,count
Vegetable Crops,94
Nutritional Security,86
Climate Change,84
vegetable crops,61
India,50
genotypes,48
tomato,47
horticultural traits,44
okra,40
bottle gourd,38
farmers,38
climate change,35
brinjal,33
ICAR,30
cowpea,30
sponge gourd,29
nutritional security,29
National Conference,28
genotype,25
yield,24
Uttar Pradesh,24
maximum yield,23
Vegetable Science,23
vegetables,21
French bean,19
fruit yield,18
hybrids,18
bitter gourd,17
Bacillus subtilis,17
agriculture,17
vermicompost,16
cabbage,15
insecticides,15
livelihood security,15
cucumber,14
radish,14
germplasm,14
AICRP,14
IIVR,13
pumpkin,13
YVMV,13
seed yield,13
Indoxacarb,13
bee flora,13
begomovirus,12
pea,12
capsicum,12
KVK,12
chilli,11
cauliflower,11
DNA,11
Chlorantraniliprole,11
North Zone Regional Farmers Fair,11
broccoli,10
MSB5 medium,10
yield potential,10
NADEP compost,10
fruit weight,10
Fruit length,10
Seed treatment,10
Vegetables,10
leaf curl disease,9
root knot nematode,9
carrot,9
micronutrients,9
micronutrient formulations,9
phylogenetic analysis,9
root weight,9
neem cake,9
Phylogenetic analysis,9
Alcaligenes faecalis,9
Chaubey T,9
Halder Jaydeep,9
Vegetable Research,8
yield attributes,8
fruit borer,8
training,8
NADEP,8
ToLCNDV,8
average fruit weight,8
advance lines,8
fruit quality,8
okra cv,8
cucurbits,8
wheat,8
Residue retention,8
Farmers Welfare,8
honey bees,8
beekeeping,8
vegetable pea,7
earliness,7
downy mildew,7
anthocyanins,7
highest,7
green pod yield,7
organic system,7
mulching,7
drip irrigation,7
pod yield,7
Spodoptera litura,7
Quinalphos,7
foliar spray,7
IIVR farm,7
Genotypes,7
Average fruit weight,7
FPC,7
viruses,7
K,7
tillage,7
insect pests,7
Residue removal,7
PGPR isolates,7
cucurbitaceous vegetables,7
commercialization,7
soil management,7
fertigation,7
farm women,7
training programme,7
Agriculture,7
ascorbic acid,6
watermelon,6
cole crops,6
root crops,6
root colour,6
quality,6
callus induction,6
TDZ,6
leafy vegetables,6
water chestnut,6
germination,6
amaranth,6
FYM,6
organic sources,6
shelf life,6
MAP storage,6
Emamectin benzoate,6
obliqua,6
mortality,6
BLAST analysis,6
PGPR,6
value addition,6
Eastern Uttar Pradesh,6
germplasm lines,6
pod length,6
shelled fruit,6
quality attributes,6
Fruit yield,6
root length,6
Fruit weight,6
first pistillate flower anthesis,6
Genetic improvement,6
tillage treatments,6
residues retention,6
herbicides,6
begomoviruses,6
students,6
Bacillus pumilus,6
Ministry of Agriculture,6
cost benefit ratio,6
rural youth,6
Singh PM,6
Sellaperumal,6
Kodandaram,6
ivy gourd,5
muskmelon,5
antioxidants,5
multiplication,5
Kashi Amul,5
basella,5
paddy,5
maximum plant height,5
kharif season,5
vegetable productivity,5
Vermicompost,5
ZT,5
yield increase,5
Novaluron,5
diseased fruits,5
chemical module,5
pathogen,5
isolates,5
root knot nematode species,5
ridge gourd,5
pointed gourd,5
spine gourd,5
dry matter content,5
fruit rind,5
Yield,5
genetic variability,5
fruit length,5
gen,5
Standardization,5
quality traits,5
Maintenance breeding,5
population,5
morphological traits,5
CGMV resistance,5
advanced breeding lines,5
F1 hybrids,5
kitchen garden packets,5
