keyword,count
India,857
ICAR,434
rice,299
Plant Varieties,251
genotypes,233
farmers,201
NRRI,192
sugarcane,158
Rice,151
reference varieties,133
Agriculture,123
cassava,116
AICRP,112
Climate Resilience,100
cane yield,99
Vegetable Crops,94
Genetic Improvement,93
Nutritional Security,93
grain yield,90
seed yield,89
Climate Change,84
Cuttack,83
Skilled Support Staff,82
germplasm,78
sweet potato,76
drought,70
tuber crops,70
Odisha,68
DUS testing,68
Rice Pests,66
Plant Genetic Resources,66
Productivity,65
agriculture,64
genotype,63
hybrids,62
Biotechnology,62
vegetable crops,61
Sustainability,60
Co 86032,60
arecanut,59
students,59
rice varieties,58
value addition,58
Resilience,58
Farmers Welfare,58
women,58
clones,57
Regional Station,56
castor,55
yield,55
KVK,54
wheat,53
nutritional security,53
Plant Pathology,53
coconut,51
USA,51
fungicides,49
Rice Based Production System,49
profitability,49
insect pests,49
genes,49
Yield,48
National Genebank,48
tomato,47
registration,45
horticultural traits,44
oil content,44
climate change,44
FYM,44
isolates,44
PPVFRA,44
Philippines,42
Oryza,42
Vegetable Science,41
SSR markers,41
Biochemistry,41
International Conference,41
brinjal,40
AICRIP,40
NAAS score,40
okra,40
maize,39
tropical tuber crops,39
Abiotic Stress Tolerance,39
Genetic improvement,39
National Conference,38
NAAS Rating,38
bottle gourd,38
insecticides,38
elephant foot yam,38
Plantation Crops,37
Crop Protection,37
drought tolerance,36
Quality,36
germplasm accessions,35
Training Manual,35
Trichoderma,35
productivity,34
NBPGR,34
oilseed crops,34
sheath blight,33
National Seminar,33
cowpea,33
Crop Improvement,32
genetic resources,31
Physiology,31
rice germplasm,31
rice genotypes,31
nutrient management,31
Technical Officer,30
drought stress,30
sugarcane varieties,30
Biosafety,30
oilseeds,30
Germplasm,30
powdery mildew,29
chilli,29
sugar yield,29
Chlorantraniliprole,29
vegetables,29
Chinese potato,29
sponge gourd,29
IC,28
Colletotrichum,28
IARI,28
Crop Production,28
Plant Breeding,27
sunflower,27
Biosecurity,27
Seed treatment,26
vermicompost,26
Andhra Pradesh,25
red rot,25
disease incidence,25
Genotypes,25
Diagnostics,25
red rot resistance,25
pesticides,24
sugar mills,24
rice production,24
cocoa,24
Uttar Pradesh,24
inoculation,23
maximum yield,23
quality traits,23
Farmers,23
leafhopper,23
Registration,23
Das Lipi,23
soil health,23
seed treatment,23
fruit yield,23
Central Tuber Crops Research Institute,23
International Seminar,23
fertilizers,23
rice straw,22
maintenance breeding,22
leaf rust,22
bacterial blight,22
IRRI,22
leaf folder,22
genome editing,22
climate resilience,22
colour,22
wilt,21
Soil Science,21
Rice Stakeholders,21
Root Crops,21
Microbiology,21
PPVFR Authority,21
CPCRI,21
safflower,21
conservation,21
Technical Assistant,21
mapping population,20
Rights Authority,20
sucrose content,20
Kerala Agricultural University,20
germination,20
false smut,20
ICRISAT,20
linseed,20
National Symposium,20
chickpea,20
Agricultural Research,20
sugarcane clones,20
millets,20
moisture stress,20
high oil content,19
National Rice Research Institute,19
grain quality,19
Oryza sativa,19
genetic diversity,19
Kerala,19
tubers,19
spontaneum,19
French bean,19
biotic stresses,19
foxtail millet,19
NMC,19
Webinar,18
planting material,18
wet season,18
food security,18
Agronomy,18
Pooja,18
net income,18
Rock phosphate,18
yams,18
TOLIC,18
CCS yield,18
regeneration,18
Standardization,18
herbicide mixtures,18
Horticulture,18
Reference varieties,18
STA,18
internode borer,17
sheath rot,17
shelf life,17
interspecific hybrids,17
SLCMV,17
herbicides,17
wild rice,17
hybridization,17
Bacillus subtilis,17
bitter gourd,17
training,17
IPM,17
crop species,17
inbred lines,17
Food Security,17
OUAT,16
KVK Cuttack,16
pea,16
taro,16
training programme,16
� Rights Authority,16
average grain yield,16
BPS,16
TPR,16
greater yam,16
mortality,16
Abelmoschus,16
documentation,16
green gram,16
high seed yield,16
DUS guidelines,16
Women,16
quantitative traits,16
Progressive Farmers,16
Phytosanitary Treatments,16
Photosynthetic Efficiency,16
biparental crosses,16
energy security,16
Taiwan,16
buckwheat,15
brown spot,15
cabbage,15
Genetic Resources,15
aphids,15
longistaminata,15
protein content,15
Joint Registrar,15
crop improvement,15
livelihood security,15
crops,15
Germany,15
tillering,15
robustum,15
ribosomal RNA gene,15
Finger millet,15
sesame,15
External examiner,15
Quarantine,15
Health Security,15
plant genetic resources,15
SCSP,15
downy mildew,15
Value Addition,15
Andhra,15
Co 17001,15
Millets,15
Climate smart sugarcane agriculture,15
sesame genotypes,15
replicated trial,14
pulses,14
juice quality,14
rice pests,14
Oilseeds Research,14
Indian Coconut Journal,14
cucumber,14
commercialization,14
mealybug,14
aerobic rice,14
radish,14
NAAS,14
Uzbekistan,14
soybean,14
Rice research,14
Rice for Grain Quality,14
nano emulsion formulation,14
nano urea,14
QTLs,14
Patra BC,14
single cane weight,14
landraces,14
Foxtail millet,14
Central Tuber Crops Research,14
Grain yield,14
yellow stem borer,14
plant height,14
Cryopreservation,14
DUS traits,14
officinarum,13
leaf sheath,13
bee flora,13
IIVR,13
GM Diagnostics,13
rust,13
salinity stress,13
Rice Director of Research,13
drip irrigation,13
Agricultural University,13
Genetics,13
composting,13
horticultural crops,13
AC41620,13
test entries,13
earliness,13
Indoxacarb,13
pumpkin,13
PFMS,13
Brazil,13
YVMV,13
quality,13
Co 0238,13
finger millet,13
rice variety,13
Grain Quality,13
Africa,13
tribal farmers,13
transgenic plants,13
Farm Income,13
sugarcane genotypes,13
morphological characters,13
direct seeded rice,13
cane thickness,13
field gene bank,13
tuber yield,13
Shoolini University,13
TKM6 seeds,12
genetic stocks,12
Training manual,12
yam bean,12
competing crops,12
Co 09004,12
sugarcane juice,12
pest management,12
South Asia,12
whitefly,12
Oilseeds,12
AICRIP trials,12
highest grain yield,12
farmwomen,12
Sheela,12
hairiness,12
Yield superiority,12
sweet potato varieties,12
cost of cultivation,12
ASRB,12
University of Kerala,12
Upper Division Clerk,12
Molecular Biology Workshop,12
coreid bug,12
spices,12
higher grain yield,12
Vandana,12
Fusarium oxysporum,12
oryzae,12
sugarcane germplasm,12
weedy rice,12
Azolla,12
check varieties,12
bacterial phyla,12
Pearl Millet,12
pointed gourd,12
IR64,12
coastal saline areas,12
Pandi GP,12
capsicum,12
begomovirus,12
CIMMYT,12
Germplasm Conservation,12
falcatum,12
transgenic events,12
tillage,12
rice crop,12
salinity tolerance,12
neem cake,12
CRURRS,12
Maize Indian Council,11
entrepreneurship,11
heat stress,11
biochemical traits,11
grain amaranth,11
North Zone Regional Farmers Fair,11
sucrose,11
HR brix,11
GENOMIC RESOURCES,11
cauliflower,11
Sugarcane,11
varietal gene bank,11
CTCRI,11
Plant Biodiversity,11
sugarcane farmers,11
CIRCOT,11
rice cultivars,11
sugarcane cultivation,11
Plant Physiology,11
Thailand,11
Agricultural Extension,11
breeder seed,11
PGR,11
cotton,11
Rice Nuziveedu Seeds,11
Kodo millet,11
Imidacloprid,11
DNA,11
starch content,11
inner auricle,11
abiotic stresses,11
dry season,11
watermelon,11
maintenance,11
Germplasm Evaluation,11
Rice Nuziveedu Seeds Ltd,11
edible oils,11
Baite MS,11
heterosis,11
linseed varieties,11
webinar,11
Co 11015,11
PLANT EXPLORATION,10
nanocellulose,10
DH lines,10
nematodes,10
direct seeded condition,10
Production Technology,10
gene bank,10
monoecious lines,10
plantation crops,10
Barnyard millet,10
Product Diversification Sugarcane,10
wilt incidence,10
stress tolerance,10
fruit weight,10
DUS TESTING CENTRE,10
Bangladesh,10
Seed priming,10
drought conditions,10
Eastern India,10
rice farmers,10
Ramiah,10
Allium,10
New Delhi,10
rice research,10
DUS test guidelines,10
BIS,10
False smut,10
Farmers’ Rights Authority,10
Registrar,10
propiconazole,10
NRRI Newsletter,10
West Bengal,10
weed free,10
IPA1,10
Castor,10
IPM modules,10
insect pest,10
antioxidant activity,10
CfEPL1,10
Chalam VC,10
reduced tillage,10
Institute,10
Institute Management Committee,10
colored varieties,10
Finger Millet,10
Genotype,10
yield advantage,10
chlorantraniliprole,10
biochar,10
Good floret opening,10
Hindi,10
Greenhouse Gas Mitigation,10
cane height,10
cassava genotypes,10
zero tillage,10
brown rust,10
broccoli,10
breeding program,10
yield potential,10
seed health testing,10
castor based system,10
internodes,10
CTCRIS2,10
blast resistance genes,10
black rust,10
leaf gas film,10
Co 05011,10
Cotesia flavipes,10
NADEP compost,10
groundnut,10
saccharifolii,10
MSB5 medium,10
Fruit length,10
TDZ,10
Vegetables,10
conservation agriculture,10
Sugarcane Research,10
VCK,10
DUS TESTING CENTRES,9
cottonseed,9
root rot incidence,9
root knot nematode,9
smut,9
rice cultivation,9
Cuttack district,9
morphological traits,9
mirid bug,9
Technical Folder,9
stomatal conductance,9
crop wild relatives,9
Crop Applicant Name,9
seed cotton,9
cryopreservation,9
callus induction,9
Social Sciences,9
diversification,9
root weight,9
citric acid,9
Tribolium,9
Xanthomonas,9
um,9
SAP54,9
Xanthomonas oryzae,9
cooking quality,9
standards,9
Branch Office,9
D,9
Crops Research Institute,9
rice moth,9
elephant foot,9
elite clones,9
copra,9
endophytic bacteria,9
Chaubey T,9
CoC 671,9
micronutrient formulations,9
micronutrients,9
aromatic plants,9
single plant progenies,9
muskmelon,9
plug method,9
REGIONAL STATION,9
carrot,9
Phylogenetic analysis,9
floral visitor insects,9
foliar spray,9
leaf curl disease,9
INB,9
ISPGR,9
PGR management,9
gray mold resistance,9
phylogenetic analysis,9
parasitism,9
genomic resources,9
National Programme,9
fruit length,9
IIHR,9
incubation,9
sugarcane productivity,9
Germplasm Collection,9
Mishra SK,9
net house,9
transplanted rice,9
Mexico,9
Mahadeva Swamy,9
Little millet,9
AICRP centres,9
Alcaligenes faecalis,9
Halder Jaydeep,9
oil palm,9
parental lines,9
2023,9
sugarcane hybrids,9
high yielding rice varieties,9
trash mulching,9
Germplasm Diversity Day,8
wild okra,8
gloeosporioides,8
yield gaps,8
agronomic traits,8
coconut palms,8
ISMPP,8
disease management,8
average fruit weight,8
Serbia,8
Nutrition,8
anisopliae,8
Seed yield,8
m,8
yield attributes,8
NADEP,8
advance lines,8
Indian Society,8
leaf spot disease,8
Tuber Crops,8
Laxminarayana,8
sustainability,8
AICRN,8
leaf webber,8
okra cv,8
ToLCNDV,8
TilhanTec,8
silicon content,8
sunflower cultivation,8
Vegetable Research,8
Vietnam,8
Molecular Biology,8
conventional tillage,8
honey bees,8
wheat blast,8
output marketing,8
grain length,8
cucurbits,8
Zingiber zerumbet,8
FAO,8
cocoa genotypes,8
fruit quality,8
chitinolytic bacteria,8
Rice Punjan Barman,8
bioagents,8
PZVT clones,8
fruit rot,8
DUS,8
Residue retention,8
fruit borer,8
cereals,8
internode length,8
castor genotypes,8
borer pests,8
IAPSIT,8
interspecific derivatives,8
stored grain pests,8
breeding,8
DUS testing guidelines,8
Authority,8
cassava varieties,8
Plant Variety Journal,8
rice area,8
Deputy Registrar,8
Profitability,8
rainfed conditions,8
Arecanut,8
powdery mildew disease,8
SBIRC,8
phyllody,8
INB incidence,8
beekeeping,8
bee keeping,8
leaf blade curvature,8
starch yield,8
SMI,8
clonal trial,7
Horticultural Crops,7
highest,7
HvRAF,7
herbarium specimens,7
pod yield,7
internode shape,7
GTC,7
organic carbon,7
seed villages,7
zeolite,7
mauritiana,7
ar,7
high protein content,7
arundinaceus,7
Co canes,7
Lasiodiplodia theobromae,7
coccinellids,7
�,7
samplesDistrict Agri,7
Cassava,7
juice sucrose,7
red palm weevil,7
IOPEPC,7
GERMPLASM COLLECTION,7
coconut garden,7
coconut rhinoceros beetle,7
silicon,7
oxysporum,7
Germplasm conservation,7
indenters,7
value added products,7
random mating,7
100 seed weight,7
intercropping systems,7
anthocyanins,7
abiotic stress tolerance,7
seed storage methods,7
biomass,7
coconut oil,7
mechanization,7
Germplasm Exchange,7
CIAT,7
reference collection,7
human health,7
organic system,7
organic farming,7
seed colour,7
Genomic Tools,7
K,7
Genomic Resources,7
IIVR farm,7
sick pot method,7
Co 15020,7
highest tuber yield,7
bacteria,7
fat content,7
Uniformity,7
sugarcane cultivars,7
PGPR isolates,7
Angular Auriculate,7
mulching,7
SNP markers,7
Bacillus,7
net returns,7
Saccharum,7
Bacillus thuringiensis,7
Sclerostachya,7
FPC,7
Spodoptera litura,7
oil yield,7
Alarmelu,7
Sett Treatment Device,7
germ,7
Netherlands,7
vegetable pea,7
Field Gene Bank,7
potential crops,7
South Africa,7
POTENTIAL CROPS,7
Rights,7
PPVFR Act,7
endophytes,7
fertigation,7
viruses,7
farmer varieties,7
Average fruit weight,7
farm women,7
natural farming,7
Plant Tissue Culture,7
field genebank,7
Quinalphos,7
videoconferencing,7
RNF5,7
storage insect pests,7
Reference Varieties,7
DUS test,7
faba bean,7
Residue removal,7
PZVT,7
Elephant Foot Yam,7
fungi,7
rBiFC vectors,7
O,7
root rot,7
millable canes,7
planting materials,7
soil management,7
water stress,7
gray mold,7
NAAS rating,7
white grub,7
Sustainable Development,7
Telangana,7
green pod yield,7
Dioscorea,7
cucurbitaceous vegetables,7
white grubs,7
Tropical Tuber Crops,7
sugarcane variety,7
Tuber yield,7
Sugarcane Breeding Institute,7
Colletotrichum falcatum,7
first pistillate flower anthesis,6
root length,6
rice bean,6
red rot reaction,6
growth crack,6
cassava stem,6
energy canes,6
Arunachal Pradesh,6
entomopathogenic fungi,6
highest seed yield,6
chali yield,6
cost benefit ratio,6
formative phase,6
red rot isolates,6
internal transcribed spacer,6
rural youth,6
juice quality traits,6
internode colour,6
growth ring,6
essential oils,6
castor hybrid,6
cassava mosaic disease,6
fababean,6
rind surface appearance,6
corm yield,6
Boopathi,6
Australia,6
root colour,6
root crops,6
linseed oil,6
cyanide content,6
crop diversification,6
germplasm lines,6
combined stress,6
ica,6
identification,6
coconut gardens,6
salt stress,6
reference clones,6
potato,6
legumes,6
winter sprouting potential,6
resistance genes,6
residues retention,6
leafy vegetables,6
leafhoppers,6
6032,6
ricini,6
cole crops,6
Buckwheat,6
cocoa pod husk biochar,6
drought condition,6
primers,6
BLAST analysis,6
garlic,6
crop production,6
crop protection,6
lentil,6
economics,6
Brassica oleracea,6
grasspea,6
CF13,6
genomic regions,6
Bacillus pumilus,6
cross combinations,6
genomics,6
86032,6
grain size,6
crop growth,6
turmeric,6
capacity building,6
pentatomid bug,6
Cotton Technology,6
molecular markers,6
Sree Athulya,6
water chestnut,6
sowing,6
Singh PM,6
Ministry of Agriculture,6
Issapur farm,6
obliqua,6
Sellaperumal,6
quality attributes,6
Crop Utilization,6
Fruit yield,6
Seed production,6
SugarcaneEdge,6
Sugarcon 2024,6
MS medium,6
moisture content,6
modified starches,6
water use efficiency,6
MAP storage,6
modified starch,6
Thespesia lampas,6
soil application,6
Kodandaram,6
GM detection,6
pod length,6
Kalparasa,6
Cocoa,6
V,6
organic sources,6
Seed Sector Development,6
Fruit weight,6
Field Genebank,6
PGPR,6
Eastern Ghats,6
East Indian arrowroot,6
Plant Biotechnology,6
