keyword,count
India,144
Plant Genetic Resources,64
USA,51
National Genebank,48
Regional Station,34
NBPGR,34
germplasm,34
Germplasm,30
Biosafety,30
genetic resources,29
ICAR,28
wheat,28
Biosecurity,27
Diagnostics,25
conservation,21
rice,20
chickpea,20
regeneration,18
genotypes,18
documentation,16
Abelmoschus,16
Taiwan,16
quantitative traits,16
Phytosanitary Treatments,16
Genetic Resources,15
buckwheat,15
Philippines,15
Quarantine,15
seed yield,15
Health Security,15
germplasm accessions,14
chilli,14
maize,14
Uzbekistan,14
IC,14
Cryopreservation,14
horticultural crops,13
Brazil,13
crops,13
Odisha,13
Shoolini University,13
GM Diagnostics,13
Training Manual,13
Germplasm Conservation,12
ICRISAT,12
millets,12
foxtail millet,12
Yield superiority,12
National Seminar,12
Germplasm Evaluation,11
farmers,11
PGR,11
plant genetic resources,11
colour,11
Thailand,11
Germany,11
GENOMIC RESOURCES,11
grain amaranth,11
maintenance,11
Plant Biodiversity,11
seed health testing,10
,10
PLANT EXPLORATION,10
Bangladesh,10
grain yield,10
Allium,10
Chalam VC,10
Germplasm Collection,9
Agriculture,9
genomic resources,9
Millets,9
crop wild relatives,9
powdery mildew,9
aromatic plants,9
genes,9
students,9
PGR management,9
um,9
Mexico,9
National Programme,9
Plant Pathology,9
pulses,9
REGIONAL STATION,9
ISPGR,9
AICRN,8
quality traits,8
soybean,8
Fusarium oxysporum,8
m,8
cereals,8
vegetables,8
wild rice,8
wild okra,8
linseed,8
Germplasm Diversity Day,8
protein content,8
genetic diversity,8
Zingiber zerumbet,8
genotype,8
powdery mildew disease,8
Biotechnology,8
International Conference,8
Nutrition,8
Plant Breeding,8
Germplasm Exchange,7
Genomic Resources,7
germ,7
herbarium specimens,7
seed colour,7
fungi,7
nematodes,7
oilseeds,7
biochemical traits,7
GERMPLASM COLLECTION,7
Dioscorea,7
O,7
faba bean,7
plant height,7
South Africa,7
Netherlands,7
2023,7
potential crops,7
HvRAF,7
high protein content,7
field genebank,7
brinjal,7
Genomic Tools,7
indenters,7
Germplasm conservation,7
seed storage methods,7
POTENTIAL CROPS,7
Plant Tissue Culture,7
Nutritional Security,7
Sustainability,7
Training manual,7
finger millet,6
Eastern Ghats,6
legumes,6
barley core collection,6
drought tolerance,6
genomic regions,6
grain length,6
CIMMYT,6
V,6
ica,6
grasspea,6
lentil,6
earliness,6
grain size,6
Australia,6
Brassica oleracea,6
genomics,6
identification,6
fababean,6
Field Genebank,6
Issapur farm,6
Issapur Farm,6
browntop millet,6
molecular markers,6
GM detection,6
MS medium,6
cryopreservation,6
Buckwheat,6
pilosum,6
Thespesia lampas,6
landraces,6
rice bean,6
turmeric,6
TSP,6
Genomics,6
National Bureau of,5
seeds,5
pollen,5
moth bean,5
rice landraces,5
National Herbarium,5
Cultivated Plants,5
crop improvement,5
Plant Quarantine,5
China,5
Brassica,5
salinity tolerance,5
GERMPLASM,5
Triticum aestivum,5
Setaria italica,5
Glycine max,5
spices,5
linseed germplasm,5
wild species,5
fruit size,5
Oryza sativa,5
lycopersicum,5
bean,5
quinoa,5
is,5
Colletotrichum,5
BCMV,5
moschatus,5
MYMIV resistance,5
phytoplasma,5
