keyword,count
rice,279
India,227
NRRI,192
Rice,145
Climate Resilience,100
Genetic Improvement,93
Cuttack,83
Skilled Support Staff,82
grain yield,80
ICAR,79
genotypes,72
Rice Pests,66
Productivity,65
Resilience,58
rice varieties,58
Sustainability,53
Rice Based Production System,49
Odisha,47
Yield,43
Oryza,42
profitability,41
AICRIP,40
Abiotic Stress Tolerance,39
farmers,39
Quality,36
Biochemistry,36
SSR markers,34
sheath blight,33
drought,33
rice germplasm,31
rice genotypes,31
KVK,30
Technical Officer,30
fungicides,29
Physiology,27
Genetic improvement,27
productivity,26
Agriculture,26
FYM,25
rice production,24
pesticides,24
Das Lipi,23
climate resilience,22
bacterial blight,22
IRRI,22
leaf folder,22
rice straw,22
isolates,22
Rice Stakeholders,21
disease incidence,20
mapping population,20
false smut,20
National Rice Research Institute,19
biotic stresses,19
grain quality,19
Philippines,18
insect pests,18
nutritional security,18
Genotypes,18
Pooja,18
wet season,18
maize,18
herbicide mixtures,18
Chlorantraniliprole,18
agriculture,18
fertilizers,18
STA,18
TOLIC,18
sheath rot,17
IPM,17
Photosynthetic Efficiency,16
OUAT,16
genes,16
average grain yield,16
green gram,16
TPR,16
BPS,16
Seed treatment,16
Progressive Farmers,16
Soil Science,16
KVK Cuttack,16
IARI,16
longistaminata,15
yield,15
Trichoderma,15
brown spot,15
women,15
students,14
yellow stem borer,14
QTLs,14
nano emulsion formulation,14
nutrient management,14
rice pests,14
Grain yield,14
Oryza sativa,14
aerobic rice,14
moisture stress,14
replicated trial,14
inoculation,14
seed treatment,14
insecticides,14
Rice for Grain Quality,14
Patra BC,14
Microbiology,14
Rice research,14
Farmers Welfare,14
AC41620,13
direct seeded rice,13
rice variety,13
genotype,13
Grain Quality,13
transgenic plants,13
Farm Income,13
rice crop,12
coastal saline areas,12
pest management,12
cost of cultivation,12
weedy rice,12
AICRIP trials,12
higher grain yield,12
check varieties,12
highest grain yield,12
hybrids,12
CRURRS,12
IR64,12
bacterial phyla,12
Azolla,12
oryzae,12
TKM6 seeds,12
farmwomen,12
Vandana,12
Pandi GP,12
ASRB,12
Technical Assistant,12
Upper Division Clerk,12
,11
abiotic stresses,11
dry season,11
breeder seed,11
heterosis,11
genetic diversity,11
food security,11
herbicides,11
rice cultivars,11
Imidacloprid,11
Baite MS,11
rice research,10
rice farmers,10
Eastern India,10
Ramiah,10
hybridization,10
West Bengal,10
breeding program,10
False smut,10
stress tolerance,10
blast resistance genes,10
germplasm,10
Andhra Pradesh,10
direct seeded condition,10
DH lines,10
yield advantage,10
Good floret opening,10
IPA1,10
conservation agriculture,10
weed free,10
biochar,10
composting,10
insect pest,10
chlorantraniliprole,10
colored varieties,10
leaf gas film,10
Women,10
Seed priming,10
IPM modules,10
propiconazole,10
Africa,10
NRRI Newsletter,10
Greenhouse Gas Mitigation,10
Production Technology,10
Institute Management Committee,10
National Seminar,10
wild rice,9
heat stress,9
Xanthomonas,9
net house,9
rice cultivation,9
high yielding rice varieties,9
single plant progenies,9
transplanted rice,9
soil health,9
Cuttack district,9
Xanthomonas oryzae,9
Mishra SK,9
South Asia,9
rice area,8
stored grain pests,8
PFMS,8
Profitability,8
FAO,8
Indian Society,8
