keyword,count
Plant Varieties,245
reference varieties,118
ICAR,71
DUS testing,62
India,59
registration,45
PPVFRA,44
Farmers,23
Registration,23
maintenance breeding,22
PPVFR Authority,21
Farmers Welfare,20
Agricultural Research,20
Reference varieties,18
crop species,17
DUS guidelines,16
� Rights Authority,16
Rights Authority,15
Joint Registrar,15
Finger millet,15
genotypes,15
Agriculture,14
DUS traits,14
Foxtail millet,14
morphological characters,13
field gene bank,13
Rice Director of Research,13
IARI,12
Pearl Millet,12
colour,11
Kodo millet,11
Rice Nuziveedu Seeds Ltd,11
Rice Nuziveedu Seeds,11
Maize Indian Council,11
Registrar,10
Farmers’ Rights Authority,10
VCK,10
DUS test guidelines,10
New Delhi,10
Barnyard millet,10
Finger Millet,10
DUS TESTING CENTRE,10
Genotype,10
D,9
Branch Office,9
IIHR,9
DUS TESTING CENTRES,9
Little millet,9
Crop Applicant Name,9
Plant Variety Journal,8
Authority,8
Deputy Registrar,8
DUS,8
Genetics,8
DUS testing guidelines,8
Rice Punjan Barman,8
farmers,7
PPVFR Act,7
Uniformity,7
Rights,7
DUS test,7
hybridization,7
maize,7
hybrids,7
Reference Varieties,7
farmer varieties,7
reference collection,7
inbred lines,7
finger millet,7
foxtail millet,7
pointed gourd,7
Angular Auriculate,7
Field Gene Bank,7
Registry,6
Seed Sector Development,6
germplasm,6
Pearl millet,6
branch office,6
Rice,6
sowing,6
crop growth,6
selfed seeds,6
DUS trial,6
test entries,6
Farmer varieties,6
Data submission,6
barnyard millet,6
Grain Amaranth,6
garlic,6
reference clones,6
National Research Centre,6
Vegetable Science,6
Central Government,6
Environmental Welfare,6
ITPGRFA,5
Legal Advisor,5
Legal Cell,5
Intellectual Property Rights,5
registered variety,5
BMT,5
Technical Assistant,5
foliar application,5
field,5
reference lines,5
Kh,5
National Gene Bank,5
Blackgram,5
DUS trials,5
wheat,5
little millet,5
Small millets,5
AICRP,5
Plant height,5
watermelon,5
gene bank,5
fruit yield,5
Orchids,5
bell pepper,5
Floriculture,5
PFMS,5
State Government Institutions,5
Registered Societies,5
Institute,5
Canara Bank,5
Computer Assistant,5
Cotton Prabhat Agri Biotech,5
Wheat Indian Council,5
Wheat DCM,5
Plant Varieties Registry,4
International Treaty,4
Registrar General,4
Financial Advisor,4
plant varieties,4
plant breeders,4
plant genetic resources,4
Jackfruit,4
Germany,4
planting material,4
farming communities,4
Distinctiveness,4
Stability,4
National Register,4
genotype,4
PGSC Award,4
Maize,4
Crops,4
Muskmelon,4
cropping season,4
F 1 seed production,4
physiological maturity,4
Crop management,4
US,4
relative humidity,4
leaf length,4
Kharif 2021,4
uniformity,4
shape,4
CICR,4
Name,4
Diploid cotton,4
DUS Test guidelines,4
replications,4
Monitoring team,4
Maintenance Breeding,4
PC unit,4
Foxtail Millet,4
reference entry,4
pea,4
Year,4
urdbean,4
Black gram,4
morphological traits,4
IC,4
muskmelon,4
Watermelon,4
HORTICULTURAL RESEARCH,4
Angular Cordate Undulate,4
Cowpea,4
germplasm accessions,4
DUS descriptors,4
fruit length,4
TAFCORN Plantation,4
sweet potato varieties,4
greater yam,4
ginger,4
grouping characteristics,4
chilli,4
paprika,4
Government,4
Vigilance Awareness Week,4
University,4
Sorghum Indian Council,4
Rice Ananta Singphow,4
Rice Indian Council of,4
Rice Amarkanan Rural Socio,4
Rice Ramkrishna Barman,4
Potato Germicopa,4
Shriram Limited,4
Rice Seed Works International,4
Varieties,3
