keyword,count
sugarcane,158
cane yield,99
India,74
Co 86032,60
clones,57
ICAR,44
sugarcane varieties,30
genotypes,30
sugar yield,29
farmers,27
red rot,25
red rot resistance,25
sugar mills,24
drought,21
sucrose content,20
sugarcane clones,20
spontaneum,19
NMC,19
CCS yield,18
AICRP,17
internode borer,17
drought stress,17
biparental crosses,16
Agriculture,16
energy security,16
robustum,15
Co 17001,15
drought tolerance,15
tillering,15
Climate smart sugarcane agriculture,15
genes,14
mealybug,14
juice quality,14
single cane weight,14
genome editing,14
officinarum,13
leaf sheath,13
cane thickness,13
sugarcane genotypes,13
salinity stress,13
Co 0238,13
genetic stocks,12
Co 09004,12
sugarcane juice,12
falcatum,12
Molecular Biology Workshop,12
sugarcane germplasm,12
hairiness,12
transgenic events,12
Plant Pathology,12
Food Security,12
sugarcane cultivation,11
sucrose,11
HR brix,11
Co 11015,11
reference varieties,11
sugarcane farmers,11
Plant Physiology,11
wilt,11
inner auricle,11
planting material,11
Sugarcane,11
Value Addition,11
Cotesia flavipes,10
saccharifolii,10
cane height,10
internodes,10
drought conditions,10
quality traits,10
germination,10
CfEPL1,10
Co 05011,10
Sugarcane Research,10
National Conference,10
International Conference,10
Product Diversification Sugarcane,10
sugarcane hybrids,9
smut,9
CoC 671,9
trash mulching,9
endophytic bacteria,9
isolates,9
sugarcane productivity,9
standards,9
Mahadeva Swamy,9
plug method,9
hybrids,9
inoculation,9
INB,9
parasitism,9
citric acid,9
INB incidence,8
internode length,8
SMI,8
yield,8
PZVT clones,8
borer pests,8
anisopliae,8
leaf blade curvature,8
disease management,8
silicon content,8
SBIRC,8
Vietnam,8
IAPSIT,8
Molecular Biology,8
quality,7
mechanization,7
Sugarcane Breeding Institute,7
Co canes,7
students,7
clonal trial,7
juice sucrose,7
Co 15020,7
Sclerostachya,7
arundinaceus,7
abiotic stress tolerance,7
millable canes,7
Colletotrichum falcatum,7
Sett Treatment Device,7
bacteria,7
silicon,7
PZVT,7
test entries,7
Saccharum,7
ar,7
plant height,7
salinity tolerance,7
sugarcane cultivars,7
white grub,7
internode shape,7
Alarmelu,7
white grubs,7
sugarcane variety,7
biomass,7
Biotechnology,7
winter sprouting potential,6
salt stress,6
sugarcane crop,6
red rot isolates,6
DUS testing,6
elite clones,6
Co 20016,6
Co 17004,6
water use efficiency,6
formative phase,6
cane weight,6
SCGS phytoplasma,6
energy canes,6
SugarcaneEdge,6
tribals,6
HR Brix,6
cross combinations,6
6032,6
red rot reaction,6
Co 14012,6
86032,6
drought condition,6
rust,6
germplasm,6
juice quality traits,6
interspecific hybrids,6
primers,6
Standardization,6
single bud setts,6
borer,6
internode colour,6
growth ring,6
rind surface appearance,6
waxiness,6
bud groove,6
growth crack,6
IISR,6
pectin,6
sucrose yield,6
DSMS,6
Crop Protection,6
mechanized treatment,6
mortality,6
Entomology,6
DAPSTC project,6
CF13,6
Co 18022,6
Sugarcon 2024,6
Crop Improvement,6
International Sugar Conference,6
Online meeting,6
Plant Biotechnology,6
NHG,5
sugarcane agriculture,5
sugar industry,5
ratoon crops,5
germplasm accessions,5
Cytological studies,5
ISMA,5
Co 21012,5
transcriptome data,5
susceptible clones,5
Cane yield,5
biomass production,5
abiotic stress,5
